chart_week,current_week,title,performer,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,valence,time_signature,duration_ms,genres
2023-09-02,8,Vampire,Olivia Rodrigo,0.484,0.53,-5.821,0.0538,0.154,0.263,136.848,0.323,4,219724,['pop']
2023-09-02,9,Dance The Night,Dua Lipa,0.671,0.845,-4.93,0.048,0.0207,0.329,110.056,0.775,4,176579,"['dance pop', 'pop', 'uk pop']"
2023-09-02,10,Barbie World,Nicki Minaj & Ice Spice With Aqua,0.77,0.58,-8.393,0.247,0.519,0.233,144.072,0.753,4,109750,"['hip pop', 'pop', 'queens hip hop', 'rap']"
2023-09-09,1,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,0.429,0.453,-7.746,0.0459,0.554,0.102,77.639,0.155,4,227196,['classic oklahoma country']
2023-09-09,2,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-09-09,3,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
2023-09-09,4,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-09-09,5,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-09-09,6,Rich Men North Of Richmond,Oliver Anthony Music,0.678,0.264,-12.384,0.0622,0.753,0.302,121.722,0.528,4,187244,['modern country pop']
2023-09-09,7,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-09-09,8,Used To Be Young,Miley Cyrus,0.626,0.63,-3.834,0.0377,0.582,0.13,147.029,0.421,4,191186,['pop']
2023-09-09,9,Dance The Night,Dua Lipa,0.671,0.845,-4.93,0.048,0.0207,0.329,110.056,0.775,4,176579,"['dance pop', 'pop', 'uk pop']"
2023-09-09,10,Fukumean,Gunna,0.847,0.622,-6.747,0.0903,0.119,0.285,130.001,0.22,4,125040,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2023-09-16,1,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
2023-09-16,2,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,0.429,0.453,-7.746,0.0459,0.554,0.102,77.639,0.155,4,227196,['classic oklahoma country']
2023-09-16,3,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-09-16,4,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-09-16,5,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-09-16,6,Dance The Night,Dua Lipa,0.671,0.845,-4.93,0.048,0.0207,0.329,110.056,0.775,4,176579,"['dance pop', 'pop', 'uk pop']"
2023-09-16,7,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-09-16,8,Fukumean,Gunna,0.847,0.622,-6.747,0.0903,0.119,0.285,130.001,0.22,4,125040,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
